audienceScore,audienceScore_sentiment,criticsScore,criticsScore_certifiedAttribute,criticsScore_sentiment,lower_title,original_release_year,title
57,negative,51,False,negative,ellaenchanted,2015,Ella Enchanted
85,positive,92,True,positive,forbiddenplanet,2008,Forbidden Planet
96,positive,95,True,positive,klaus,2019,Klaus
94,positive,100,True,positive,nightsofcabiria,2008,Nights of Cabiria
64,positive,53,False,negative,pocahontas,2014,Pocahontas
60,positive,64,False,positive,theinformer,2020,The Informer
84,positive,82,True,positive,thejerk,2012,The Jerk
,,74,False,positive,thelistener,2024,The Listener
84,positive,92,True,positive,thelittleprince,2016,The Little Prince
71,positive,65,False,positive,weboughtazoo,2014,We Bought a Zoo
42,negative,74,False,positive,wecanbeheroes,2020,We Can Be Heroes
44,negative,13,False,negative,winter'stale,2015,Winter's Tale
71,positive,59,False,negative,agoofymovie,2014,A Goofy Movie
66,positive,68,False,positive,atourist'sguidetolove,2023,A Tourist's Guide to Love
79,positive,70,False,positive,desperado,2012,Desperado
98,positive,49,False,negative,istillbelieve,2020,I Still Believe
41,negative,21,False,negative,mastersoftheuniverse,2016,Masters of the Universe
84,positive,94,True,positive,meanstreets,2010,Mean Streets
56,negative,60,False,positive,nine1/2weeks,2008,Nine 1/2 Weeks
65,positive,38,False,negative,oddthomas,2016,Odd Thomas
42,negative,57,False,negative,thebeachbum,2019,The Beach Bum
64,positive,38,False,negative,thebodyguard,2009,The Bodyguard
33,negative,19,False,negative,theiceageadventuresofbuckwild,2022,The Ice Age Adventures of Buck Wild
46,negative,95,False,positive,theoldways,2021,The Old Ways
93,positive,89,True,positive,thesecretintheireyes,2012,The Secret in Their Eyes
79,positive,100,True,positive,adisturbanceintheforce,2023,A Disturbance in The Force
73,positive,82,True,positive,charliewilson'swar,2016,Charlie Wilson's War
44,negative,86,True,positive,"hail,caesar!",2016,"Hail, Caesar!"
59,negative,50,False,negative,happyending,2023,Happy Ending
69,positive,77,True,positive,i'mnotthere,2016,I'm Not There
95,positive,85,True,positive,love&basketball,2008,Love & Basketball
80,positive,76,True,positive,somekindofwonderful,2014,Some Kind of Wonderful
56,negative,47,False,negative,thebeaniebubble,2023,The Beanie Bubble
88,positive,91,True,positive,thelittlemermaid,2017,The Little Mermaid
62,positive,31,False,negative,thelongestyard,2014,The Longest Yard
86,positive,81,True,positive,21grams,2014,21 Grams
71,positive,86,True,positive,athena,2022,Athena
81,positive,26,False,negative,daddy'slittlegirls,2015,Daddy's Little Girls
34,negative,18,False,negative,doom,2014,Doom
93,positive,86,True,positive,haroldandmaude,2013,Harold and Maude
63,positive,46,False,negative,iceage:dawnofthedinosaurs,2014,Ice Age: Dawn of the Dinosaurs
45,negative,38,False,negative,projectalmanac,2016,Project Almanac
71,positive,91,True,positive,teentitansgo!tothemovies,2018,Teen Titans GO! to the Movies
