age_certification,disneyplus,full_path,globoplay,hbomax,id,imdbPopularity,imdbScore,imdbVotes,justwatchScore,lower_title,movie_genre,netflix,object_type,original_release_year,original_title,paramountplus,primevideo,production_countrie,runtime,starplus,title,tmdbPopularity,tmdbScore,website_url
12,False,/br/filme/perdido-em-marte,False,False,tm138400,76.036,8,926728,0.975695576307,themartian,scf,False,MOVIE,2015,The Martian,False,False,US,141,True,Perdido em Marte,76.036,7.684,www.justwatch.com/br/filme/perdido-em-marte
14,False,/br/filme/a-paixao-de-cristo,False,False,tm81482,87.278,7.2,251439,0.802868671824,thepassionofthechrist,drm,False,MOVIE,2004,The Passion of the Christ,False,False,US,127,True,A Paixão de Cristo,87.278,7.503,www.justwatch.com/br/filme/a-paixao-de-cristo
16,False,/br/filme/coracao-valente,False,False,tm12503,63.921,8.3,1092261.0,0.960762176227,braveheart,act,False,MOVIE,1995,Braveheart,False,False,US,177,True,Braveheart: O Desafio do Guerreiro,63.921,7.94,www.justwatch.com/br/filme/coracao-valente
12,False,/br/filme/sociedade-dos-poetas-mortos,False,False,tm134674,62.913,8.1,547121,0.965345581869,deadpoetssociety,drm,False,MOVIE,1989,Dead Poets Society,False,False,US,128,True,O Clube dos Poetas Mortos,62.913,8.314,www.justwatch.com/br/filme/sociedade-dos-poetas-mortos
12,False,/br/filme/o-sexto-sentido,False,False,tm55542,123.946,8.2,1052513.0,0.976790173273,thesixthsense,trl,False,MOVIE,1999,The Sixth Sense,False,False,US,107,True,O Sexto Sentido,123.946,7.954,www.justwatch.com/br/filme/o-sexto-sentido
14,False,/br/filme/captain-fantastic,True,False,tm239721,60.708,7.8,235312,0.948701608734,captainfantastic,drm,False,MOVIE,2016,Captain Fantastic,False,False,US,119,True,Capitão Fantástico,60.708,7.9,www.justwatch.com/br/filme/captain-fantastic
12,False,/br/filme/le-mans-66-o-duelo,False,False,tm420873,106.61,8.1,356222,0.97100064895,fordvferrari,hst,False,MOVIE,2019,Ford v Ferrari,False,False,US,153,True,Le Mans '66: O Duelo,106.61,8.005,www.justwatch.com/br/filme/le-mans-66-o-duelo
16,False,/br/filme/cisne-negro,False,False,tm100061,63.658,8,825763,0.920945216289,blackswan,drm,False,MOVIE,2010,Black Swan,False,False,US,108,True,Cisne Negro,63.658,7.684,www.justwatch.com/br/filme/cisne-negro
16,False,/br/filme/the-menu,False,False,tm1198110,96.365,7.2,393548,0.882593218775,themenu,hrr,False,MOVIE,2022,The Menu,False,False,US,107,True,O Menu,96.365,7.188,www.justwatch.com/br/filme/the-menu
L,False,/br/filme/o-diabo-veste-prada,False,False,tm32004,109.59,6.9,468335,0.950134697645,thedevilwearsprada,cmy,False,MOVIE,2006,The Devil Wears Prada,False,False,US,109,True,O Diabo Veste Prada,109.59,7.395,www.justwatch.com/br/filme/o-diabo-veste-prada
12,False,/br/filme/500-dias-com-ela,False,False,tm2193,83.707,7.7,557335,0.91428828737,500daysofsummer,drm,False,MOVIE,2009,(500) Days of Summer,False,False,US,95,True,(500) Dias com Summer,83.707,7.281,www.justwatch.com/br/filme/500-dias-com-ela
14,False,/br/filme/the-creator,False,False,tm1232018,219.346,6.8,161402,0.844659698269,thecreator,act,False,MOVIE,2023,The Creator,False,False,CA,134,True,O Criador,219.346,7.097,www.justwatch.com/br/filme/the-creator
14,False,/br/filme/cruzada,False,False,tm179021,79.626,7.3,315857,0.912068331869,kingdomofheaven,drm,False,MOVIE,2005,Kingdom of Heaven,False,False,ES,144,True,Reino dos Céus,79.626,6.943,www.justwatch.com/br/filme/cruzada
14,False,/br/filme/the-greatest-hits,False,False,tm1444845,52.503,,,0.684365831584,thegreatesthits,drm,False,MOVIE,2024,The Greatest Hits,False,False,US,94,True,Os Grandes Sucessos,52.503,6.6,www.justwatch.com/br/filme/the-greatest-hits
14,False,/br/filme/all-of-us-strangers,False,False,tm1371266,74.605,7.7,46700,0.806472864188,allofusstrangers,rma,False,MOVIE,2023,All of Us Strangers,False,False,GB,106,True,Todos Nós Desconhecidos,74.605,7.465,www.justwatch.com/br/filme/all-of-us-strangers
18,False,/br/filme/poor-things,False,False,tm1028203,240.632,7.9,256936,0.842127722843,poorthings,scf,False,MOVIE,2023,Poor Things,False,False,IE,142,True,Pobres Criaturas,240.632,7.792,www.justwatch.com/br/filme/poor-things
16,False,/br/filme/guy-ritchies-the-covenant,False,False,tm1124551,157.289,7.5,163426,0.953612725783,guyritchiesthecovenant,act,False,MOVIE,2023,Guy Ritchie's The Covenant,False,True,US,123,False,The Covenant,157.289,7.78,www.justwatch.com/br/filme/guy-ritchies-the-covenant
16,False,/br/filme/ressignificar,False,False,tm1394418,0.6,9,7,,ressignificar,doc,False,MOVIE,2023,Ressignificar,False,True,BR,73,False,Ressignificar,0.6,10,www.justwatch.com/br/filme/ressignificar
L,True,/br/filme/taylor-swift-the-eras-tour,False,False,tm1380523,57.421,8,20981,0.791258436384,taylorswifttheerastour,msc,False,MOVIE,2023,TAYLOR SWIFT | THE ERAS TOUR,False,False,US,169,False,Taylor Swift | THE ERAS TOUR,57.421,8.383,www.justwatch.com/br/filme/taylor-swift-the-eras-tour
L,True,/br/filme/star-wars-episodio-vi-o-regresso-de-jedi,False,False,tm3,198.573,8.3,1122676.0,0.977153741116,returnofthejedi,act,False,MOVIE,1983,Return of the Jedi,False,False,US,132,False,Star Wars: Episódio VI - O Regresso de Jedi,198.573,7.898,www.justwatch.com/br/filme/star-wars-episodio-vi-o-regresso-de-jedi
10,True,/br/filme/madu,False,False,tm1436564,15.655,4.9,185,0.160558382953,madu,doc,False,MOVIE,2024,Madu,False,False,NG,100,False,Madu,15.655,7.2,www.justwatch.com/br/filme/madu
L,True,/br/filme/moana,False,False,tm120111,33.912,7.6,378914,0.965155227232,moana,act,False,MOVIE,2016,Moana,False,False,US,107,False,Vaiana,33.912,7.569,www.justwatch.com/br/filme/moana
12,True,/br/filme/doutor-estranho-2016,False,False,tm123360,309.842,7.5,805880,0.971921693154,doctorstrange,act,False,MOVIE,2016,Doctor Strange,False,False,US,115,False,Doutor Estranho,309.842,7.423,www.justwatch.com/br/filme/doutor-estranho-2016
14,True,/br/filme/flamin-hot,False,False,tm1295000,83.656,6.7,17054,0.89478862466,flaminhot,drm,False,MOVIE,2023,Flamin' Hot,False,False,US,99,True,Flamin' Hot: A História dos Cheetos Extra Picantes,83.656,7.952,www.justwatch.com/br/filme/flamin-hot
,True,/br/filme/nai-nai-and-wai-po,False,False,tm1317406,10.886,7.8,,0.465759441638,ninaiwip,doc,False,MOVIE,2024,Nǎi Nai & Wài Pó,False,False,US,17,False,Nǎi Nai & Wài Pó,10.886,7.8,www.justwatch.com/br/filme/nai-nai-and-wai-po
12,True,/br/filme/capitao-america-2-o-soldado-invernal,False,False,tm159149,48.43,7.7,899922,0.97018632477,captainamericathewintersoldier,act,False,MOVIE,2014,Captain America: The Winter Soldier,False,False,US,136,False,Capitão América: O Soldado do Inverno,48.43,7.665,www.justwatch.com/br/filme/capitao-america-2-o-soldado-invernal
12,True,/br/filme/x-men-2,False,False,tm136160,3.737,7.4,576723,0.963208407413,x2,act,False,MOVIE,2003,X2,False,False,US,133,False,X-Men 2,3.737,7.03,www.justwatch.com/br/filme/x-men-2
L,True,/br/filme/toy-story-3,False,False,tm101226,80.565,8.3,893301,0.961883525104,toystory3,ani,False,MOVIE,2010,Toy Story 3,False,False,US,103,False,Toy Story 3,80.565,7.8,www.justwatch.com/br/filme/toy-story-3
12,True,/br/filme/thor-ragnarok,False,False,tm12119,418.061,7.9,816937,0.959281750438,thorragnarok,scf,False,MOVIE,2017,Thor: Ragnarok,False,False,US,131,False,Thor: Ragnarok,418.061,7.6,www.justwatch.com/br/filme/thor-ragnarok
12,True,/br/filme/rogue-one-a-star-wars-story,False,False,tm202481,59.443,7.8,687390,0.96527167242,rogueoneastarwarsstory,act,False,MOVIE,2016,Rogue One: A Star Wars Story,False,False,US,133,False,Rogue One: Uma História de Star Wars,59.443,7.5,www.justwatch.com/br/filme/rogue-one-a-star-wars-story
14,True,/br/filme/wolverine,False,False,tm187305,13.752,6.7,492570,0.889231040535,thewolverine,act,False,MOVIE,2013,The Wolverine,False,False,US,138,False,Wolverine,13.752,6.4,www.justwatch.com/br/filme/wolverine
10,True,/br/filme/thor,False,False,tm171064,89.176,7,901096,0.934342784592,thor,fnt,False,MOVIE,2011,Thor,False,False,US,115,False,Thor,89.176,6.8,www.justwatch.com/br/filme/thor
12,True,/br/filme/capitao-america-guerra-civil,False,False,tm123356,129.335,7.8,851058,0.964909657384,captainamericacivilwar,act,False,MOVIE,2016,Captain America: Civil War,False,False,US,148,False,Capitão América: Guerra Civil,129.335,7.442,www.justwatch.com/br/filme/capitao-america-guerra-civil
L,True,/br/filme/pacha-e-o-imperador,False,False,tm26792,122.787,7.4,225755,0.94804183534,theemperorsnewgroove,cmy,False,MOVIE,2000,The Emperor's New Groove,False,False,US,78,False,Pacha e o Imperador,122.787,7.557,www.justwatch.com/br/filme/pacha-e-o-imperador
